Id,title,rating
547,Pet Sematary,3.93
548,Angelfall,4.17
549,A Discovery of Witches,3.99
550,Far From the Madding Crowd,3.93
551,Wicked Lovely,3.69
552,The Bean Trees,3.96
553,The Elite,4.02
554,Interpreter of Maladies,4.13
555,Little House on the Prairie,4.19
556,Slammed,4.28
557,All the Light We Cannot See,4.32
558,P.S. I Love You,4.01
559,The Horse and His Boy,3.91
560,The Merchant of Venice,3.79
561,The Red Pyramid,4.07
562,Cyrano de Bergerac,4.05
563,2001: A Space Odyssey,4.13
564,The Grapes of Wrath,3.94
565,Drums of Autumn,4.34
566,Little House in the Big Woods,4.17
567,World Without End,4.25
568,Sabriel,4.17
569,The Darkest Minds,4.22
570,The Last Unicorn,4.18
571,A Court of Thorns and Roses,4.27
572,Cutting for Stone,4.28
573,The Goose Girl,4.18
574,Ignite Me,4.43
575,All the King's Men,4.08
576,Julius Caesar,3.67
577,Peace Like a River,3.99
578,Speaker for the Dead,4.05
579,City of Glass,4.33
580,Mythology: Timeless Tales of Gods and Heroes,3.99
581,Lover Eternal,4.35
582,Before I Fall,3.91
583,The Eyre Affair,3.91
584,Shadowfever,4.42
585,We Need to Talk About Kevin,4.08
586,A Dog's Purpose,4.35
587,Anne of Avonlea,4.22
588,Left Behind,3.82
589,The Westing Game,4.03
590,Seabiscuit: An American Legend,4.21
591,The Memory Keeper's Daughter,3.65
592,Hyperion,4.22
593,Poison Study,4.15
594,No Country for Old Men,4.13
595,The Talisman,4.13
596,The Secret,3.65
597,The Queen of the Damned,3.88
598,Gone,3.86
599,I Am Legend and Other Stories,3.99
600,The Silver Chair,3.96
601,Possession,3.88
602,Native Son,3.97
603,Darkfever,4.12
604,The Art of War,3.96
605,The History of Love,3.92
606,Angels & Demons,3.87
607,Where She Went,4.04
608,Rosencrantz and Guildenstern Are Dead,4.06
609,Pretties,3.85
610,John Adams,4.05
611,Oedipus Rex,3.69
612,House of Sand and Fog,3.84
613,Foucault's Pendulum,3.89
614,The Knife of Never Letting Go,3.97
615,The Killer Angels,4.31
616,Inheritance,4.09
617,Tempted,3.96
618,The Yellow Wallpaper and Other Stories,4.03
619,Aristotle and Dante Discover the Secrets of the Universe,4.35
620,The Blind Assassin,3.95
621,Prince Caspian,3.97
622,One for the Money,4.03
623,Six of Crows,4.46
624,A People's History of the United States,4.08
625,Lover Unbound,4.33
626,Champion,4.36
627,Persuasion,4.13
628,The Scorch Trials,3.93
629,The Bourne Identity,4
630,The Bad Beginning,3.92
631,The Night Before Christmas,4.37
632,Alanna: The First Adventure,4.27
633,Gravity's Rainbow,4.03
634,A Heartbreaking Work of Staggering Genius,3.68
635,A Breath of Snow and Ashes,4.43
636,The Raven Boys,4.06
637,One Day in the Life of Ivan Denisovich,3.95
638,A Wizard of Earthsea,4
639,The Magus,4.05
640,Jitterbug Perfume,4.24
641,Prodigal Summer,3.99
642,The Left Hand of Darkness,4.06
643,The Haunting of Hill House,3.89
644,Corelli's Mandolin,3.96
645,Oryx and Crake,4
646,Grimm's Fairy Tales,4.13
647,Message in a Bottle,3.95
648,A Brief History of Time,4.15
649,If on a Winter's Night a Traveler,4.07
650,Love Story,3.61
651,The No. 1 Ladies' Detective Agency,3.77
652,We Were Liars,3.84
653,The Return of the King,4.52
654,Papillon,4.24
655,The Fiery Cross,4.26
656,Night Watch,4.48
657,Glass Houses,3.91
658,All the Bright Places,4.18
659,The Book of Mormon: Another Testament of Jesus Christ,4.37
660,The Shell Seekers,4.14
661,The Edge of Never,4.25
662,Prodigy,4.28
663,Veronika Decides to Die,3.69
664,Confessions of a Shopaholic,3.62
665,The Big Sleep,4.02
666,1Q84,3.9
667,The Omnivore's Dilemma: A Natural History of Four Meals,4.18
668,A Christmas Carol,4.03
669,Club Dead,4.03
670,Lover Revealed,4.3
671,Bury My Heart at Wounded Knee: An Indian History of the American West,4.22
672,Angle of Repose,4.27
673,"I'd Tell You I Love You, But Then I'd Have to Kill You",3.82
674,The Elegance of the Hedgehog,3.75
675,Ivanhoe,3.75
676,Queen of Shadows,4.59
677,Scarlet,4.3
678,Anthem,3.62
679,The Aeneid,3.82
680,Lover Avenged,4.38
